temp,dataset_or_rollup,comparison,metric,n,delta_pct,ci_low,ci_high
0.5,LCB,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,-13.363541074816887,-18.817478324311455,-7.901304231433926
0.5,LCB,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,-6.430739444375877,-12.551380428485725,0.21265609072997904
0.5,MT-Bench,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),98,14.2140900119079,10.621647726448602,18.364764386646492
0.5,MT-Bench,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),100,4.770092848902752,1.358691065812434,8.323009858173581
0.5,MT-Bench,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),100,3.1334342726855535,-0.16898308332894407,6.695240929468094
0.5,MT-Bench,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),100,19.82951782664375,15.903806437347656,24.16864436942714
0.5,Alpaca,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,13.240424307633859,6.893843887464746,19.67176756496769
0.5,Alpaca,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,5.305508477058951,-1.5142251722374822,12.829878349674795
0.5,Alpaca,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,5.56184821988468,-1.143928572116204,12.629792189230526
0.5,Alpaca,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,29.71831912133689,20.13526254522555,40.23789562437241
0.5,Math,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),127,3.7259119489418735,1.0110709376058846,6.597564590122884
0.5,Math,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),130,7.96118544433726,4.319998879078213,11.68853301441304
0.5,Math,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),130,7.880979695832768,4.223336164134861,11.71300715282133
0.5,Math,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),130,16.139861640049304,12.07290844115163,20.475511864118513
0.5,Code,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),147,3.3468022133946285,0.4184084035032676,6.397769694545241
0.5,Code,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),150,-7.500958846653061,-10.351656550576493,-4.702918925671606
0.5,Code,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),150,-7.860749877973494,-10.684205384327406,-5.015533632120473
0.5,Code,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),150,2.557252712816549,-1.0709393176016935,6.238774960835003
0.5,Chat,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),147,13.935862487805096,10.74576640642071,17.398766326842164
0.5,Chat,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),150,4.920598296854517,1.7611245023443356,8.161582988463213
0.5,Chat,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),150,3.8071778302646964,0.7464140264974883,6.985415126360683
0.5,Chat,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),150,22.463423650576743,18.486826304340177,26.854800077635723
0.5,Overall,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),421,5.980171544842383,4.242132832439949,7.760223793064314
0.5,Overall,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),430,0.9941259292971738,-1.0257782024978956,3.040535395123767
0.5,Overall,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),430,0.5468663647536731,-1.5011955360359042,2.5835960821352755
0.5,Overall,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),430,12.128214988452868,9.693833121002381,14.595561426161385
1.0,GSM8K,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,0.9332257186798865,-5.190545039227745,7.628785779363478
1.0,GSM8K,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,15.068418268588402,9.522968127757391,21.15658959944129
1.0,GSM8K,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,16.664681717325934,10.620287738793444,22.911080511099712
1.0,GSM8K,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,24.364144882279646,17.967242955107565,31.391703389077485
1.0,MATH-500,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,-2.054895953535507,-7.1722000388715905,3.6404345760596035
1.0,MATH-500,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,-5.926736162209845,-10.091608652493012,-1.5356747976806195
1.0,MATH-500,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,-6.2806211909746885,-10.378822908635799,-1.9263330615498786
1.0,MATH-500,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,2.5548193476295777,-2.5518688669109,7.960411979138526
1.0,AIME25,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),29,16.65379334210224,10.98931835080359,22.811723942466244
1.0,AIME25,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),30,-13.019243405308167,-17.15129570699507,-8.590999524195453
1.0,AIME25,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),30,-14.08911134459302,-18.179288038445563,-9.968710156546923
1.0,AIME25,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),30,3.3352738207049315,-1.044748191396394,8.222578009722724
1.0,HumanEval,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,8.72400429848037,3.2026222302478757,14.31018993151616
1.0,HumanEval,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,-6.330414361283221,-10.916517662142322,-1.4888399801965768
1.0,HumanEval,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,-3.4488435470076184,-8.382013101588592,1.488842374931032
1.0,HumanEval,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,6.169221138693115,0.7994409910150768,11.521852347638116
1.0,MBPP,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,4.725764319619996,-0.755526993086475,10.638279959703345
1.0,MBPP,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,-7.7929929311872375,-11.449090309357967,-3.904681952892841
1.0,MBPP,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,-6.962329186469662,-10.186976398550563,-3.599194255813054
1.0,MBPP,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,4.119780055142552,-0.7833256125266863,9.020258434517814
1.0,LCB,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,2.426711823708194,-2.646858463981483,7.700111002812582
1.0,LCB,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,-11.878341214003962,-16.378036095437608,-6.95412297264938
1.0,LCB,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,-12.27522482946406,-17.404320834995612,-7.065296952211031
1.0,LCB,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,-2.0056752328553973,-7.519085326714759,3.9322892446883584
1.0,MT-Bench,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),98,12.47787510623477,7.144389124699169,18.230084781279366
1.0,MT-Bench,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),100,-0.6322579997753763,-4.499642489095068,3.303983173502001
1.0,MT-Bench,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),100,-0.02721872346059806,-3.6545019824621994,3.516144897204332
1.0,MT-Bench,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),100,12.942014417404678,7.038002615912609,19.202095415812103
1.0,Alpaca,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,15.417940163353606,9.037559643282833,22.404666902081583
1.0,Alpaca,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,0.132156676813322,-4.783333163709457,5.274629427145028
1.0,Alpaca,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,1.0688825150297232,-4.483621751294519,7.085101695471785
1.0,Alpaca,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,16.753957461230897,8.52428533819587,25.798986613925877
1.0,Math,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),127,2.049335718106482,-1.738671751312848,5.974046695265112
1.0,Math,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),130,0.5921101261046946,-2.8932257971769237,4.126134160289596
1.0,Math,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),130,0.7014719201744013,-2.847577973473303,4.477110611756685
1.0,Math,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),130,11.136998509298902,7.183616134129189,15.3352977025081
