temp,dataset,model,harness,method,speedup,tau,tps,n
0.5,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,6.405142533520712,7.941448364500351,97.86652987301666,50.0
0.5,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,3.872615084206208,4.951632947379305,59.76295865627374,100.0
0.5,alpaca,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,3.0274976922566488,3.9046752896544934,47.553090832410305,50.0
0.5,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.761076014254697,7.264321713613502,89.2553226565358,50.0
0.5,math500,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,6.512071080508753,8.262662946074729,100.60813204459696,50.0
0.5,aime25,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.647533991080826,7.0160449505212386,85.29747648678219,30.0
0.5,humaneval,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.953380229909342,7.474790231422527,91.27710231907217,50.0
0.5,mbpp,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.361608350899463,6.6904092185702435,82.50332274735887,50.0
0.5,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,6.563251204439168,8.197652812917013,100.28233044023975,50.0
0.5,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,3.935772597752577,5.020565106450837,60.73761784362708,100.0
0.5,alpaca,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,3.019327153022345,3.8802681234176015,47.42475567451659,50.0
0.5,gsm8k,Qwen3-8B,domino_official,Domino,6.7380177893265545,9.126442506105946,113.20383172570011,49.0
0.5,math500,Qwen3-8B,domino_official,Domino,6.532098186111067,8.686649161114145,107.64558661208929,49.0
0.5,aime25,Qwen3-8B,domino_official,Domino,4.961048014137814,6.646623944215014,82.21111854938714,29.0
0.5,humaneval,Qwen3-8B,domino_official,Domino,5.189635497029632,7.0213689159857715,87.00599805387957,49.0
0.5,mbpp,Qwen3-8B,domino_official,Domino,4.9966288690221505,6.929704848738178,84.53772732447516,49.0
0.5,livecodebench,Qwen3-8B,domino_official,Domino,5.843446551275598,7.4704118464116265,95.16923460715661,49.0
0.5,mt-bench,Qwen3-8B,domino_official,Domino,3.5551962717009316,4.834364823481086,58.79967050772184,98.0
0.5,alpaca,Qwen3-8B,domino_official,Domino,2.808103735367133,3.915343842569092,47.04857228113214,49.0
0.5,gsm8k,Qwen3-8B,dominotree,DominoTree (16),7.040698109046598,10.155712211308094,118.28909167181456,50.0
0.5,math500,Qwen3-8B,dominotree,DominoTree (16),6.635029891794593,9.334033431493014,109.34184767914509,50.0
0.5,aime25,Qwen3-8B,dominotree,DominoTree (16),5.362499100077367,7.62212360488533,88.86369331260329,30.0
0.5,humaneval,Qwen3-8B,dominotree,DominoTree (16),5.402874380895663,7.737844999153452,90.58102021589431,50.0
0.5,mbpp,Qwen3-8B,dominotree,DominoTree (16),5.384549173896057,7.691034217423146,91.10093260081088,50.0
0.5,livecodebench,Qwen3-8B,dominotree,DominoTree (16),5.683539272373286,8.060342100431646,92.56490628692511,50.0
0.5,mt-bench,Qwen3-8B,dominotree,DominoTree (16),4.0556250476606275,5.682865741725837,67.07630135739774,100.0
0.5,alpaca,Qwen3-8B,dominotree,DominoTree (16),3.188183111905551,4.579086360759234,53.41663902824519,50.0
1.0,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.49282155550288,50.0
1.0,math500,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.449483090829068,50.0
1.0,aime25,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.103490589254148,30.0
1.0,humaneval,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.331979278007937,50.0
1.0,mbpp,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.387793614861502,50.0
1.0,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.279368001701972,50.0
1.0,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.432196941030016,100.0
1.0,alpaca,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.707060967886315,50.0
1.0,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,DFlash,4.884870085970539,6.009355983118195,75.68042056375558,50.0
1.0,math500,Qwen3-8B,baseline_ddtree_caddtree,DFlash,5.393117941986623,6.576140594709425,83.3208844515692,50.0
1.0,aime25,Qwen3-8B,baseline_ddtree_caddtree,DFlash,3.938003522456198,4.721528208658786,59.477599141866875,30.0
1.0,humaneval,Qwen3-8B,baseline_ddtree_caddtree,DFlash,4.601385232911762,5.668942881150868,70.54834304113487,50.0
1.0,mbpp,Qwen3-8B,baseline_ddtree_caddtree,DFlash,4.463272369841063,5.372666919816884,68.67991407402806,50.0
1.0,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,DFlash,5.536871187042175,6.58776958768432,84.59989244483782,50.0
1.0,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,DFlash,3.1577966522121463,3.8891557239105143,48.73173983666311,100.0
1.0,alpaca,Qwen3-8B,baseline_ddtree_caddtree,DFlash,2.487808950854599,3.0781662801187526,39.076166867526474,50.0
1.0,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.2834595328039935,6.769100275089508,81.85569573745289,50.0
1.0,math500,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.884986281930761,7.470476203125595,90.91999605245032,50.0
